Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
-0.5084375,-0.3964467402608928,-4.675421946100299,-0.002074258480229256
-0.508125,-0.395501635799703,-4.672593291126061,-0.002064807435617357
-0.5078125,-0.395501635799703,-4.668821751160411,-0.002055356391005459
-0.5075,-0.3945565313385132,-4.66505021119476,-0.002064807435617357
-0.5071875,-0.3936114268773233,-4.66127867122911,-0.002055356391005459
-0.506875,-0.3936114268773233,-4.659392901246284,-0.002045905346393561
-0.5065625,-0.3936114268773233,-4.655621361280634,-0.002045905346393561
-0.50625,-0.3936114268773233,-4.652792706306396,-0.002045905346393561
-0.5059375,-0.3926663224161335,-4.649964051332158,-0.002036454301781663
-0.505625,-0.3926663224161335,-4.646192511366507,-0.002036454301781663
-0.5053125000000001,-0.3926663224161335,-4.642420971400857,-0.002036454301781663
-0.505,-0.3926663224161335,-4.63959231642662,-0.002036454301781663
-0.5046875,-0.3926663224161335,-4.635820776460969,-0.002036454301781663
-0.504375,-0.3917212179549436,-4.633935006478143,-0.002036454301781663
-0.5040625,-0.3917212179549436,-4.630163466512493,-0.002045905346393561
-0.50375,-0.3907761134937538,-4.626391926546843,-0.002036454301781663
-0.5034375,-0.3907761134937538,-4.623563271572605,-0.002036454301781663
-0.503125,-0.3888859045713741,-4.620734616598368,-0.002027003257169764
-0.5028125,-0.3888859045713741,-4.618848846615542,-0.002036454301781663
-0.5024999999999999,-0.3888859045713741,-4.615077306649892,-0.002027003257169764
-0.5021875,-0.3879408001101843,-4.610362881692828,-0.002017552212557866
-0.501875,-0.3879408001101843,-4.610362881692828,-0.002008101167945967
-0.5015625,-0.3879408001101843,-4.606591341727178,-0.002008101167945967
-0.50125,-0.3869956956489944,-4.60376268675294,-0.001998650123334069
-0.5009375,-0.3869956956489944,-4.59999114678729,-0.001998650123334069
-0.500625,-0.3879408001101843,-4.59621960682164,-0.001998650123334069
-0.5003125,-0.3869956956489944,-4.592448066855988,-0.00198919907872217
-0.5,-0.3869956956489944,-4.588676526890338,-0.00198919907872217
-0.4996875,-0.3869956956489944,-4.586790756907513,-0.00198919907872217
-0.499375,-0.3869956956489944,-4.583962101933276,-0.001979748034110272
-0.4990625,-0.3869956956489944,-4.579247676976212,-0.001970296989498374
-0.49875,-0.3869956956489944,-4.576419022001974,-0.001970296989498374
-0.4984375,-0.3888859045713741,-4.575476137010562,-0.001960845944886476
-0.498125,-0.3879408001101843,-4.573590367027736,-0.001970296989498374
-0.4978125,-0.3869956956489944,-4.569818827062086,-0.001970296989498374
-0.4975,-0.3869956956489944,-4.566047287096436,-0.001970296989498374
-0.4971875,-0.3869956956489944,-4.56416151711361,-0.001960845944886476
-0.496875,-0.3860505911878046,-4.56038997714796,-0.001951394900274577
-0.4965625,-0.3851054867266148,-4.556618437182309,-0.001951394900274577
-0.49625,-0.3851054867266148,-4.553789782208072,-0.001951394900274577
-0.4959375,-0.3841603822654249,-4.551904012225246,-0.001941943855662679
-0.495625,-0.3841603822654249,-4.546246702276771,-0.00193249281105078
-0.4953125,-0.3832152778042351,-4.543418047302533,-0.00193249281105078
-0.495,-0.3841603822654249,-4.540589392328295,-0.001923041766438882
-0.4946875,-0.3832152778042351,-4.537760737354057,-0.001923041766438882
-0.494375,-0.3822701733430453,-4.533989197388407,-0.001923041766438882
-0.4940625,-0.3822701733430453,-4.531160542414169,-0.001923041766438882
-0.49375,-0.3822701733430453,-4.528331887439931,-0.001923041766438882
-0.4934375,-0.3813250688818555,-4.523617462482868,-0.001913590721826984
-0.493125,-0.3813250688818555,-4.522674577491456,-0.001923041766438882
-0.4928125,-0.3813250688818555,-4.517960152534393,-0.001923041766438882
-0.4925,-0.3803799644206656,-4.515131497560154,-0.001941943855662679
-0.4921875,-0.3794348599594758,-4.511359957594504,-0.001951394900274577
-0.491875,-0.3803799644206656,-4.509474187611679,-0.001951394900274577
-0.4915625,-0.3803799644206656,-4.505702647646029,-0.001951394900274577
-0.49125,-0.3794348599594758,-4.503816877663203,-0.001970296989498374
